profile_id,source_domain,target_domain,source,source_id,location,career_bridge_score,bridge_label,matched_skill_count,matched_skill_labels,missing_reskilling_skill_labels
23,Education,IT,stack-stackoverflow,476,Germany,0.170064,large gap,3,Python (computer programming) | SQL | coordinate security,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | crowdsourcing strategy | participate in training sessions
4,Green Energy,IT,stack-stackoverflow,95,Poland,0.170064,large gap,3,Python (computer programming) | SQL | coordinate security,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | crowdsourcing strategy | participate in training sessions
39,Green Energy,IT,stack-stackoverflow,917,"Munich, Germany",0.170064,large gap,3,Python (computer programming) | SQL | coordinate security,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | crowdsourcing strategy | participate in training sessions
127,Education,Green Energy,stack-electronics,1240,"Ludwigshafen am Rhein, Germany",0.125196,large gap,2,laboratory equipment | promote health and safety,crowdsourcing strategy | monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | protect the health of others | accounting | provide high quality customer service | consult with business clients
14,IT,Education,stack-stackoverflow,260,"Budapest, Hungary",0.119662,large gap,2,crowdsourcing strategy | Python (computer programming),monitor developments in field of expertise | digital curation | process booking | respond to inquiries in written form | sell tourist packages | arrange bookings | make reservations | solve technical problems | climatology | innovation processes
161,Education,IT,stack-physics,184,"Warsaw, Poland",0.11614,large gap,2,deliver visual presentation of data | Python (computer programming),monitor developments in field of expertise | digital curation | think analytically | database | consult with business clients | accounting | provide high quality customer service | SQL | coordinate security | crowdsourcing strategy
193,Education,IT,stack-biology,129,"Warsaw, Poland",0.11614,large gap,2,deliver visual presentation of data | Python (computer programming),monitor developments in field of expertise | digital curation | think analytically | database | consult with business clients | accounting | provide high quality customer service | SQL | coordinate security | crowdsourcing strategy
378,Education,IT,stack-law,1185,"Düsseldorf, Germany",0.11445,large gap,2,accounting | coordinate security,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | provide high quality customer service | Python (computer programming) | SQL | crowdsourcing strategy
31,Green Energy,IT,stack-stackoverflow,834,Germany,0.113389,large gap,2,Python (computer programming) | SQL,monitor developments in field of expertise | digital curation | think analytically | database | deliver visual presentation of data | consult with business clients | accounting | provide high quality customer service | coordinate security | crowdsourcing strategy
14,IT,Green Energy,stack-stackoverflow,260,"Budapest, Hungary",0.095418,large gap,1,crowdsourcing strategy,monitor developments in field of expertise | digital curation | build team spirit | sales activities | manage maintenance operations | laboratory equipment | promote health and safety | protect the health of others | accounting | provide high quality customer service
317,Education,Tourism,stack-earthscience,94,Germany,0.071044,large gap,1,climatology,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | respond to inquiries in written form | arrange bookings | make reservations | process booking | accounting
638,Education,Tourism,stack-physics,1236,Czech Republic,0.071044,large gap,1,climatology,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | respond to inquiries in written form | arrange bookings | make reservations | process booking | accounting
646,Education,Tourism,stack-physics,1492,Greece,0.071044,large gap,1,climatology,sales activities | sell tourist packages | process payments | build team spirit | provide high quality customer service | respond to inquiries in written form | arrange bookings | make reservations | process booking | accounting
